video_id,title,published_at,duration,viewCount,likeCount,commentCount,engagement_total,tags
vayL2VUdzJo,DENDAM PONTIANAK - OFFICIAL TRAILER [HD] (Malaysia) | DI PAWAGAM 12 SEPTEMBER 2019,2019-08-09 12:58:13,PT1M33S,366398,1818,339,2157,"grand,brilliance,revenge of the pontianak,pontianak,hantu,primeworks studios,tiger tiger,filem melayu,trailer,official trailer,box office,nur fazura,fazura,remy,hisyam hamid,wan hanafi su,namron,tony eusoff,filem tempatan,tv3,tv9,astro,seram,drama melayu"
6MLZPHsWU0s,KINGDOM | MELODI 14 JULY 2019,2019-08-02 03:07:10,PT4M54S,1221,23,2,25,"Kingdom,Kento Yamazaki,Ryo Yoshizawa,Manga,Japan,Anime,Remy Ishak,Kuntilanak 2,Mukbang,The Divine Fury,Janna Nick,Zizan Razak,Ajak Shiro,Shiro,TGV Cinema,GSC,MBO,MMC,Primeworks Studios,Media Prima"
KqbV7P7mapg,EJEN ALI THE MOVIE | BULETIN UTAMA - 16 DECEMBER 2018,2019-07-29 09:14:07,PT2M35S,1021,18,0,18,"ejen ali,ejen ali the movie,boboiboy the movie,boboiboy,upin ipin the movie,upin ipin,animasi malaysia,wau animation,gsc,mbo,tgv,animaion,disney,lion king,lion king malaysia,lion king movie,buletin utama,tv3"
6nKcr7XRdZo,EJEN ALI THE MOVIE | BULETIN UTAMA TV3 - 23 MARCH 2019,2019-07-29 09:08:22,PT2M50S,2765,28,4,32,"ejen ali,ejen ali the movie,lion king,lion king the movie,boboiboy,boboiboy the movie,upin ipin,upin ipin the movie,cuti sekolah,box office,gsc,tgv,mbo,mmcineplexes,sangkar,sangkar movie,dendam pontianak"
BS66rEEPRic,Ejen Ali THE MOVIE | BULETIN UTAMA - 30 NOVEMBER 2018,2019-07-29 09:04:57,PT1M44S,1608,23,1,24,"ejen ali,ejen ali the movie,boboiboy the movie,boboiboy,upin ipin,box office,buletin utama tv3,astro,anna,annaballe,makmum,filem,movie,lion king,gsc,tgv,netflix,trailer,animation,disney"
avxDP80UcxI,KINGDOM | BULETIN UTAMA TV3 - 24 JULY 2019,2019-07-29 08:42:22,PT1M56S,1448,17,4,21,"KingdomMY,KINGDOM,Mid Valley,Buletin Utama TV3,Kingdom Malaysia,Box Office,Boboiboy The Movie,Syafie Nazwi,GSC,Anna,Annabelle,Lion King,Dendam Pontianak,Kento Yamazaki,Viral,Doa Neelofa,Trailer Movie,Datin Alyah,Fazura,Sangkar,Filem,Movie 2019"
Fg6VfAVGCWw,KINGDOM | Interview with Kento Yamazaki (Full Clip),2019-07-17 02:57:45,PT6M40S,47759,736,50,786,"grand,brilliance,primeworks,sony,sony japan,kento yamazaki,キングダム,kingdom,ryo yoshizawa,bleach,gantz,manga,anime,trailer,box office,movie trailer,shueisha,live action,action,adventure,jpop,japan,masami nagasawa,kanna hashimoto,shinsuke sato,yasuhisa hara"
VhaIdK5yukM,KINGDOM | Interview with Kento Yamazaki (Part 3),2019-07-08 02:57:47,PT2M45S,16378,172,5,177,"grand,brilliance,primeworks,sony,sony japan,kento yamazaki,キングダム,kingdom,ryo yoshizawa,bleach,gantz,manga,anime,trailer,box office,movie trailer,shueisha,live action,action,adventure,jpop,japan,masami nagasawa,kanna hashimoto,shinsuke sato,yasuhisa hara"
cKz0ncYjT0c,KINGDOM | Kento Yamazaki - MELODI 30 JUN 2019,2019-07-07 02:58:17,PT2M20S,49349,1289,98,1387,"grand,brilliance,primeworks,sony,sony japan,kento yamazaki,キングダム,kingdom,ryo yoshizawa,bleach,gantz,manga,anime,trailer,box office,movie trailer,shueisha,live action,action,adventure,jpop,japan,masami nagasawa,kanna hashimoto,shinsuke sato,yasuhisa hara"
bpVm9kgW_DQ,KINGDOM | Interview with Kento Yamazaki (Part 2),2019-07-06 02:58:19,PT2M12S,27922,374,24,398,"grand,brilliance,primeworks,sony,sony japan,kento yamazaki,キングダム,kingdom,ryo yoshizawa,bleach,gantz,manga,anime,trailer,box office,movie trailer,shueisha,live action,action,adventure,jpop,japan,masami nagasawa,kanna hashimoto,shinsuke sato,yasuhisa hara"
mEUkH6pT6gs,KINGDOM | Interview with Kento Yamazaki (Part 1),2019-07-03 02:57:49,PT1M46S,5847,81,2,83,"grand,brilliance,primeworks,sony,sony japan,kento yamazaki,キングダム,kingdom,ryo yoshizawa,bleach,gantz,manga,anime,trailer,box office,movie trailer,shueisha,live action,action,adventure,jpop,japan,masami nagasawa,kanna hashimoto,shinsuke sato,yasuhisa hara"
xR7NRhi1HWk,KINGDOM | Kento Yamazaki in Singapore (27 May 2019),2019-06-27 02:00:03,PT1M1S,1475,28,1,29,"grand,brilliance,primeworks,sony,sony japan,kento yamazaki,キングダム,kingdom,ryo yoshizawa,bleach,gantz,manga,anime,trailer,box office,movie trailer,shueisha,live action,action,adventure,jpop,japan,masami nagasawa,kanna hashimoto,shinsuke sato,yasuhisa hara"
L-Iu_KBeWik,KINGDOM | TV Promo [BM],2019-06-24 02:00:01,PT30S,439577,68,2,70,"grand,brilliance,primeworks,filem,trailer,box office,japan,japanese,jpop,kento yamazaki,ryo yoshizawa,manga,anime,yasuhisa hara,shinsuke sato,shueisha,masami nagasawa,kanna hashimoto,gantz,bleach,live action,action,adventure,movei trailer"
pvqloeUzDQc,SANGKAR | 'FIRST LOOK' TEASER [HD],2019-04-08 04:00:08,PT30S,102375,887,176,1063,"primeworks,infinitus,mm2,sangkar,remy ishak,zul ariffin,mira filzah,mma,boxing,martial arts,ufc,kabib,mcgregor,one fc,one championship,filem,filem melayu,trailer,tv3 malaysia"
842geI-qRFg,#ROCK4: ROCKERS NEVER DAI | ANUGERAH JUARA LAGU 33,2019-02-08 08:09:56,PT1M51S,22834,153,7,160,"grand,brilliance"
jk2OIOMoV3Y,ROCK4: ROCKERS NEVER DAI | TEASER,2019-02-04 05:18:06,PT1M1S,28823,210,41,251,"rockoo,rockbro,mamatkhalid,hazama,ajl33,mishaomar,haram,healhusaini,dayangnurfaizah,sampaibila,arajohari,bunga,nicog,joefilzow,budakflat,amanra,amysearch,rockkapak,filemwajibtonton2019,tv3,bossku,maluapabossku,onxon,najibrazak,emmamaebong,elfiraloy,sufiansuhaimi,dimatamu"
V122ou6RCe8,SANGKAR | OFFICIAL TEASER [HD],2018-12-12 04:13:33,PT20S,29544,182,45,227,"grand,brilliance,remy ishak,zul ariffin,mira filzah,nik adam mika,mma,mixed martial arts,james mcsweeney,one fc,primeworks,movie trailer,filem melayu,tv3"
VebzpP81D8k,#7UJUH | BULETIN 1:30 | 1 NOVEMBER 2018,2018-11-12 05:16:46,PT1M41S,1029,7,0,7,"grand,brilliance,7ujuh,filem tujuh,siti saleha,marsha milan,aeril zafrel,johan asari,filem melayu,seram,horror,thriller"
O_uCwD699Zw,#7UJUH | MELODI | 4 NOVEMBER 2018,2018-11-12 05:14:36,PT3M34S,385,6,0,6,"grand,brilliance,seram,thriller,file melayu,siti saleha,marsha milan,aeril zafrel,munafik,hantu kak limah,johan asari,syamsul yusof,melodi"
c7fCT4qC2m0,#7UJUH | BORAK KOPITIAM | 2 NOVEMBER 2018,2018-11-12 05:08:24,PT3M47S,514,5,1,6,"grand,brilliance,tujuh,7ujuh,marsha milan,siti saleha,aeril zafrel,munafik,syamsul yusof,maya karin,langsuir,syafiq kyle,johan asari,filem melayu,horror,thriller"
-jNWN-iFiVg,#7UJUH | DI SEBALIK TABIR,2018-11-07 04:30:07,PT21M3S,18413,126,11,137,"grand,brilliance,hantu,seram,horror,filem melayu,hantu kak limah,syamsul yusof,maya karin,siti saleha,marsha milan,aeril zafrel,johan asari,tujuh,filem tujuh,7ujuh,syafiq kyle,langsuir,paskal"
I6KTS5odsEA,#7UJUH - OPENS IN SINGAPORE 15 NOVEMBER 2018,2018-11-05 08:37:54,PT1M27S,4962,21,0,21,"grand,brilliance,munafik,tujuh,7ujuh,syamsul yusof,siti saleha,marsha milan,aeril zafrel,pekin ibrahim,horror,thriller,filem seram,hantu kak limah,paskal,langsuir,cathay singapore"
qiH_oxdnJZY,#7UJUH | SEDUTAN EKSKLUSIF,2018-10-30 03:58:36,PT21M1S,230027,1755,312,2067,"grand,brilliance,munafik,hantu kak limah,paskal,langsuir,syamsul yusof,maya karin,siti saleha,marsha milan,filem,tv3,operasi x,primeworks,astro gempak,meletop,filem tujuh,7ujuh,raja mukhriz"
a2wadHeaXM4,#7UJUH | WANITA HARI INI | 18 OKTOBER 2018,2018-10-23 15:19:22,PT7M23S,964,11,0,11,"whi,wanita hari ini,raja mukhriz,marsha milan,seram,horror,thriler,syamsul yusof,munafik,maya karin,siti saleha,aeril zafrel,primeworks,supernatural,movies,trailer,tv3,tv3 malaysia"
gysbwL3zW0A,#7UJUH -  MELODI | 14 OKTOBER 2018,2018-10-15 11:24:18,PT3M46S,13018,34,3,37,"grand,brilliance,seram,thriller,7ujuh,filem tujuh,raja mukhriz,johan asari,marsha milan,siti saleha,aeril zafrel,syamsul yusof,munafik,hantu kak limah,paskal"
gvNZse4VFb0,#7UJUH | BULETIN UTAMA | 9 OKTOBER 2018,2018-10-15 11:20:11,PT1M2S,5196,40,0,40,"grand,brilliance,seram,thriller,7ujuh,filem tujuh,syamsul yusof,munafik,hantu kak limah,raja mukhriz,johan asari,aeril zafrel,marsha milan,siti saleha,primeworks"
